# Test caces for demangle_unittest.  Each line consists of a
# tab-separated pair of mangled and demangled symbol names.

# Constructors and destructors.
_ZN3FooC1Ev	Foo::Foo()
_ZN3FooD1Ev	Foo::~Foo()
_ZNSoD0Ev	std::ostream::~ostream()

# G++ extensions.
_ZTCN10LogMessage9LogStreamE0_So	LogMessage::LogStream
_ZTv0_n12_N10LogMessage9LogStreamD0Ev	LogMessage::LogStream::~LogStream()
_ZThn4_N7icu_3_410UnicodeSetD0Ev	icu_3_4::UnicodeSet::~UnicodeSet()

# A bug in g++'s C++ ABI version 2 (-fabi-version=2).
_ZN7NSSInfoI5groupjjXadL_Z10getgrgid_rEELZ19nss_getgrgid_r_nameEEC1Ei	NSSInfo<>::NSSInfo()

# C linkage symbol names.  Should keep them untouched.
main	main
Demangle	Demangle
_ZERO	_ZERO

# Cast operator.
_Zcviv	operator int()
_ZN3foocviEv	foo::operator int()

# Versioned symbols.
_Z3Foo@GLIBCXX_3.4	Foo@GLIBCXX_3.4
_Z3Foo@@GLIBCXX_3.4	Foo@@GLIBCXX_3.4

# Abbreviations.
_ZNSaE	std::allocator
_ZNSbE	std::basic_string
_ZNSdE	std::iostream
_ZNSiE	std::istream
_ZNSoE	std::ostream
_ZNSsE	std::string

# Substitutions.  We just replace them with ?.
_ZN3fooS_E	foo::?
_ZN3foo3barS0_E	foo::bar::?
_ZNcvT_IiEEv	operator ?<>()

# "<< <" case.
_ZlsI3fooE	operator<< <>

# Random things we found interesting.
_ZN3FooISt6vectorISsSaISsEEEclEv	Foo<>::operator()()
_ZTI9Callback1IiE	Callback1<>
_ZN7icu_3_47UMemorynwEj	icu_3_4::UMemory::operator new()
_ZNSt6vectorIbE9push_backE	std::vector<>::push_back
_ZNSt6vectorIbSaIbEE9push_backEb	std::vector<>::push_back()
_ZlsRSoRK15PRIVATE_Counter	operator<<()
_ZSt6fill_nIPPN9__gnu_cxx15_Hashtable_nodeISt4pairIKPKcjEEEjS8_ET_SA_T0_RKT1_	std::fill_n<>()
_ZZ3FoovE3Bar	Foo()::Bar
_ZGVZ7UpTimervE8up_timer	UpTimer()::up_timer

# Test cases from gcc-4.1.0/libstdc++-v3/testsuite/demangle.
# Collected by:
# % grep verify_demangle **/*.cc | perl -nle 'print $1 if /"(_Z.*?)"/' |
#   sort | uniq
#
# Note that the following symbols are invalid.
